candidate_id,order,source_witness_id,source_pdf_page,source_printed_page,page_alignment_status,source_ocr_line_start,source_ocr_line_end,headword_es_ocr,cora_ocr,raw_span_ocr,separator_type,multiple_separator_flag,extraction_confidence,review_status,human_verified
ORT1888-cand-000001,1,ORTEGA1888-TEPIC-IA,19,15,matched_headword,547,548,"A., denotando la persona que padece","A., hua.","A., denotando la persona que padece. — A., hua.",em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000002,2,ORTEGA1888-TEPIC-IA,19,15,matched_headword,549,550,Abajar algo,Acátoa. Nete. Acucare. Nete.,Abajar algo. — Acátoa. Nete. Acucare. Nete.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000003,3,ORTEGA1888-TEPIC-IA,19,15,matched_headword,551,552,Abajar alguno,Acátezin Nete. Acahazéme. Nete.,Abajar alguno. — Acátezin Nete. Acahazéme. Nete.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000004,4,ORTEGA1888-TEPIC-IA,19,15,matched_headword,553,554,Abajar la cabeza,Abaútona. Nabántona.,Abajar la cabeza. — Abaútona. Nabántona.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000005,5,ORTEGA1888-TEPIC-IA,19,15,matched_headword,555,556,Abajar ó decende,Acame. N.,Abajar ó decender. — Acame. N.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000006,6,ORTEGA1888-TEPIC-IA,19,15,matched_headword,557,558,Abajar y alzar á menudo la cabeza,Temubá. Ne.,Abajar y alzar á menudo la cabeza. — Temubá. Ne.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000007,7,ORTEGA1888-TEPIC-IA,19,15,matched_headword,559,560,Abajarse inclinándose,Abaútona. Nabántona.,Abajarse inclinándose. — Abaútona. Nabántona.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000008,8,ORTEGA1888-TEPIC-IA,19,15,matched_headword,561,563,"Abajar la rama del árbol, doblegándola",Acahutacá Ne-,"Abajar la rama del árbol, doblegándola. — Acahutacá Ne- | 'te.",em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000009,9,ORTEGA1888-TEPIC-IA,19,15,matched_headword,564,564,Abajo por donde corre el rio,Iúte Mete.,Abajo por donde corre el rio. — Iúte Mete.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000010,10,ORTEGA1888-TEPIC-IA,19,15,matched_headword,565,565,Abajo respecto de lo alto,Make Muke Ake.,Abajo respecto de lo alto. — Make Muke Ake.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000011,11,ORTEGA1888-TEPIC-IA,19,15,matched_headword,566,566,Abarcar entre los brazos,Bévi. Nete.,Abarcar entre los brazos.— Bévi. Nete.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000012,12,ORTEGA1888-TEPIC-IA,19,15,matched_headword,567,567,Abarcar debajo del sobaco,Vicurétzina. Nete.,Abarcar debajo del sobaco. — Vicurétzina. Nete.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000013,13,ORTEGA1888-TEPIC-IA,19,15,matched_headword,568,568,Abasta adv,Ayápúche. Arepoá.,Abasta adv. — Ayápúche. Arepoá.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000014,14,ORTEGA1888-TEPIC-IA,19,15,matched_headword,569,569,Abeja mansa de colmena,Zearáte. pl. ri.,Abeja mansa de colmena. — Zearáte. pl. ri.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000015,15,ORTEGA1888-TEPIC-IA,19,15,matched_headword,570,575,"Abeja que cria dentro del árbol, y tiene miel",Xumuate.,"Abeja que cria dentro del árbol, y tiene miel. — Xumuate. | pl. ri. | J",em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000016,16,ORTEGA1888-TEPIC-IA,20,16,matched_headword,580,580,Abeja m'oüteza de color blanco,Tucaixarizt. Caretsing.,Abeja m'oüteza de color blanco. — Tucaixarizt. Caretsing.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000017,17,ORTEGA1888-TEPIC-IA,20,16,matched_headword,581,586,Abeja que cuelga el nido como de un hilo,Tzihcn. \\.,"Abeja que cuelga el nido como de un hilo.- Tzihcn. \\. | Tziheá cariti,",hyphen_variant,false,medium,unreviewed_machine_candidate,false
ORT1888-cand-000018,18,ORTEGA1888-TEPIC-IA,20,16,matched_headword,587,587,Abeja que aun no vuela,Tzinuiate. {>1. ri,Abeja que aun no vuela. — Tzinuiate. {>1. ri,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000019,19,ORTEGA1888-TEPIC-IA,20,16,matched_headword,588,588,Abeja que anida en las nenas,Chuarete pl ri,Abeja que anida en las nenas. — Chuarete pl ri,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000020,20,ORTEGA1888-TEPIC-IA,20,16,matched_headword,589,592,"Abeja que cria, debajo de la tierra",Iúte. [>l. ri.,"Abeja que cria, debajo de la tierra: — Iúte. [>l. ri. | Abeja pequeñita que cria tambiel) debajo de la tierra, | Ailiqueze. pl. ri.",em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000021,21,ORTEGA1888-TEPIC-IA,20,16,matched_headword,593,594,Abertura de la boca,Ancáeúne.,Abertura de la boca. — Ancáeúne.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000022,22,ORTEGA1888-TEPIC-IA,20,16,matched_headword,595,596,Abertura de lo serrado,A.ntáruneat.,Abertura de lo serrado. — A.ntáruneat.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000023,23,ORTEGA1888-TEPIC-IA,20,16,matched_headword,597,598,Abertura de la tierra,Aca.ihrliihuatéme.,Abertura de la tierra. — Aca.ihrliihuatéme.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000024,24,ORTEGA1888-TEPIC-IA,20,16,matched_headword,599,600,"Abismo, agua profunda",Ateat>v/.,"Abismo, agua profunda. — Ateat>v/.",em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000025,25,ORTEGA1888-TEPIC-IA,20,16,matched_headword,601,602,"Abismo, cosa profunda y baja",Vhniuéye.,"Abismo, cosa profunda y baja. — Vhniuéye.",em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000026,26,ORTEGA1888-TEPIC-IA,20,16,matched_headword,603,604,Abispa que hace su casa de iodo,UMiuái. pl. tzi.,Abispa que hace su casa de iodo. — UMiuái. pl. tzi.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000027,27,ORTEGA1888-TEPIC-IA,20,16,matched_headword,605,606,Abispa grande y ponzoñosa,A^//\acat. pl. t/i.,Abispa grande y ponzoñosa. — A^//\acat. pl. t/i.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000028,28,ORTEGA1888-TEPIC-IA,20,16,matched_headword,607,608,Abivar á otro,Tuca. Neti.,Abivar á otro. — Tuca. Neti.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000029,29,ORTEGA1888-TEPIC-IA,20,16,matched_headword,609,610,Ablandar Jo que está duro como barro,Putna. Neti.,Ablandar Jo que está duro como barro. -Putna. Neti.,hyphen_variant,false,medium,unreviewed_machine_candidate,false
ORT1888-cand-000030,30,ORTEGA1888-TEPIC-IA,20,16,matched_headword,611,612,Ablandar el corazón,Vcácnane. N.,Ablandar el corazón. — Vcácnane. N.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000031,31,ORTEGA1888-TEPIC-IA,20,16,matched_headword,613,614,Abofetea,Vitebéchexe. Neti.,Abofetear. — Vitebéchexe. Neti.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000032,32,ORTEGA1888-TEPIC-IA,20,16,matched_headword,615,616,Aboreteado,Tibeite becheme pl. tzi.,Aboreteador. — Tibeite becheme pl. tzi.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000033,33,ORTEGA1888-TEPIC-IA,20,16,matched_headword,617,618,Abogar por otro,Muecube. Netiucube.,Abogar por otro. — Muecube. Netiucube.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000034,34,ORTEGA1888-TEPIC-IA,20,16,matched_headword,619,620,Abogada,Cubihat.,Abogada. — Cubihat.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000035,35,ORTEGA1888-TEPIC-IA,20,16,matched_headword,621,622,Abogado,Hucabihuáme. pl. tzi.,Abogado. — Hucabihuáme. pl. tzi.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000036,36,ORTEGA1888-TEPIC-IA,20,16,matched_headword,623,624,Abolla,Teáutze. Nete.,Abollar. — Teáutze. Nete.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000037,37,ORTEGA1888-TEPIC-IA,20,16,matched_headword,625,626,"Abordar, salir ;i la orilla",Vtécbeziin. N.,"Abordar, salir ;i la orilla. — Vtécbeziin. N.",em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000038,38,ORTEGA1888-TEPIC-IA,20,16,matched_headword,627,628,Aborrece,"Haxéhvia, Neti.","Aborrecer. — Haxéhvia, Neti.",em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000039,39,ORTEGA1888-TEPIC-IA,20,16,matched_headword,629,630,Aborrecimiento,Haxelmviat.,Aborrecimiento. — Haxelmviat.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000040,40,ORTEGA1888-TEPIC-IA,20,16,matched_headword,631,632,Aborrecedo,Muhaxihvia.,Aborrecedor. — Muhaxihvia.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000041,41,ORTEGA1888-TEPIC-IA,20,16,matched_headword,633,634,Aborta,Ahee. Nete.,Abortar. — Ahee. Nete.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000042,42,ORTEGA1888-TEPIC-IA,20,16,matched_headword,635,640,Abortad ura,tal. A vial.,Abortad ura. — tal. A vial. | wim*,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000043,43,ORTEGA1888-TEPIC-IA,21,17,matched_headword,647,648,Abotonarse la flo,Aacáite.,Abotonarse la flor. — Aacáite.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000044,44,ORTEGA1888-TEPIC-IA,21,17,matched_headword,649,650,Abrazar á otro,Vicurechui. Neti.,Abrazar á otro. — Vicurechui. Neti.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000045,45,ORTEGA1888-TEPIC-IA,21,17,matched_headword,651,652,Abrazarse dos,.Muicurá hitipu.,Abrazarse dos.— .Muicurá hitipu.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000046,46,ORTEGA1888-TEPIC-IA,21,17,matched_headword,653,654,Abrazarse de calor interio,Vpuzcheá. n.,Abrazarse de calor interior. — Vpuzcheá. n.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000047,47,ORTEGA1888-TEPIC-IA,21,17,matched_headword,655,656,Abrazarse de sol,Taixe. Ne.,Abrazarse de sol. — Taixe. Ne.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000048,48,ORTEGA1888-TEPIC-IA,21,17,matched_headword,657,658,Abrazarse con fuego,Huantaixe. Nataixe.,Abrazarse con fuego. — Huantaixe. Nataixe.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000049,49,ORTEGA1888-TEPIC-IA,21,17,matched_headword,659,660,Abrigado luga,Namihua.,Abrigado lugar. — Namihua.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000050,50,ORTEGA1888-TEPIC-IA,21,17,matched_headword,661,662,Abrigar ;í otro con ropa,Baña. Nete.,Abrigar ;í otro con ropa. — Baña. Nete.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000051,51,ORTEGA1888-TEPIC-IA,21,17,matched_headword,663,665,Abrigarse para defenderse del viento,Huateavihcatacá.,Abrigarse para defenderse del viento. — Huateavihcatacá. | Natenihcatacá.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000052,52,ORTEGA1888-TEPIC-IA,21,17,matched_headword,666,667,Abrir como puerta,Antacü. Nete.,Abrir como puerta. — Antacü. Nete.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000053,53,ORTEGA1888-TEPIC-IA,21,17,matched_headword,668,668,Abrir como caja,-Anticú. Nete.,Abrir como caja. — -Anticú. Nete.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000054,54,ORTEGA1888-TEPIC-IA,21,17,matched_headword,669,670,Abril- la boca,Ácacuaxa. N.,Abril- la boca. — Ácacuaxa. N.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000055,55,ORTEGA1888-TEPIC-IA,21,17,matched_headword,671,672,Abrir como libro,A u tacú. Ne.,"Abrir como libro, — A u tacú. Ne.",em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000056,56,ORTEGA1888-TEPIC-IA,21,17,matched_headword,673,674,Abrir la mano,Atátva. Ne.,Abrir la mano. — Atátva. Ne.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000057,57,ORTEGA1888-TEPIC-IA,21,17,matched_headword,675,676,Abrir zanja 6 cimiento,Aeihché. Ne.,Abrir zanja 6 cimiento. — Aeihché. Ne.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000058,58,ORTEGA1888-TEPIC-IA,21,17,matched_headword,677,678,Abrocha,Ainuaíitéhua. Nea nautéhua.,Abrochar. — Ainuaíitéhua. Nea nautéhua.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000059,59,ORTEGA1888-TEPIC-IA,21,17,matched_headword,679,680,Abrojo,Tzicaréte.,Abrojo. — Tzicaréte.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000060,60,ORTEGA1888-TEPIC-IA,21,17,matched_headword,681,682,Abstenerse,Tapoaketaeá. Neteu.,Abstenerse. — Tapoaketaeá. Neteu.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000061,61,ORTEGA1888-TEPIC-IA,21,17,matched_headword,683,684,Abuela,Tiyácuari. pl. tzi.,Abuela. — Tiyácuari. pl. tzi.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000062,62,ORTEGA1888-TEPIC-IA,21,17,matched_headword,685,686,Abuelo,Tiyaxú. pl tzi.,Abuelo. — Tiyaxú. pl tzi.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000063,63,ORTEGA1888-TEPIC-IA,21,17,matched_headword,687,688,Abundar en riquezas,Tipini. Ne.,Abundar en riquezas. — Tipini. Ne.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000064,64,ORTEGA1888-TEPIC-IA,21,17,matched_headword,689,690,"Abundar la gente, ó el ganado",Ampuéne. Acá. Iye.,"Abundar la gente, ó el ganado. — Ampuéne. Acá. Iye.",em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000065,65,ORTEGA1888-TEPIC-IA,21,17,matched_headword,691,692,Acabar la obra,Kete. Neteu.,Acabar la obra. — Kete. Neteu.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000066,66,ORTEGA1888-TEPIC-IA,21,17,matched_headword,693,694,Acabarse la cosí»,Huaxé*.,Acabarse la cosí». — Huaxé*.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000067,67,ORTEGA1888-TEPIC-IA,21,17,matched_headword,695,696,Acabarse la vida,Vipuareca. N.,Acabarse la vida. — Vipuareca. N.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000068,68,ORTEGA1888-TEPIC-IA,21,17,matched_headword,697,698,A sacar agua del poso,"Atánehve, Ne.","A sacar agua del poso. — Atánehve, Ne.",em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000069,69,ORTEGA1888-TEPIC-IA,21,17,matched_headword,699,700,A cada paso,Iya puche.,A cada paso. — Iya puche.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000070,70,ORTEGA1888-TEPIC-IA,21,17,matched_headword,701,703,Acallar al que llora,Ihmoéa. Neti. Taih.-Moaéhri. Ne.,Acallar al que llora.— Ihmoéa. Neti. Taih.-Moaéhri. Ne. | ten.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000071,71,ORTEGA1888-TEPIC-IA,21,17,matched_headword,704,704,Acarrea,Atoatüeca. Nete.,Acarrear.— Atoatüeca. Nete.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000072,72,ORTEGA1888-TEPIC-IA,21,17,matched_headword,705,710,Acarrear de adentro á fuera,NVvátoah Nete.,Acarrear de adentro á fuera.— NVvátoah Nete. | y,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000073,73,ORTEGA1888-TEPIC-IA,22,18,matched_headword,714,715,Acarrear de afuera para adentro,Vitátoah. Nete.,Acarrear de afuera para adentro. — Vitátoah. Nete.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000074,74,ORTEGA1888-TEPIC-IA,22,18,matched_headword,716,717,Acarrear de lo alto ni suelo,Acátoah. Nete.,Acarrear de lo alto ni suelo. — Acátoah. Nete.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000075,75,ORTEGA1888-TEPIC-IA,22,18,matched_headword,718,719,Acarrear de abajo á lo alto,Antitoah. Nete.,Acarrear de abajo á lo alto. — Antitoah. Nete.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000076,76,ORTEGA1888-TEPIC-IA,22,18,matched_headword,720,721,Acarrear hacia arriba,Vtatoah. Nete.,Acarrear hacia arriba. — Vtatoah. Nete.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000077,77,ORTEGA1888-TEPIC-IA,22,18,matched_headword,722,723,Acarrear hacia abajo,Vhuátoah. Nete.,Acarrear hacia abajo. — Vhuátoah. Nete.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000078,78,ORTEGA1888-TEPIC-IA,22,18,matched_headword,724,725,Acarrear agua,Heiva. Ne.,Acarrear agua. — Heiva. Ne.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000079,79,ORTEGA1888-TEPIC-IA,22,18,matched_headword,726,727,"Acatar, tener respeto",Tzahuate. Nete.,"Acatar, tener respeto. — Tzahuate. Nete.",em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000080,80,ORTEGA1888-TEPIC-IA,22,18,matched_headword,728,730,"Acaudalarse, hacerse rijo",Huatahuázezt. Nuhuatancá-,"Acaudalarse, hacerse rijo. — Huatahuázezt. Nuhuatancá- | zezt.",em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000081,81,ORTEGA1888-TEPIC-IA,22,18,matched_headword,731,731,Acaudilla,Huáxehte. Ne.,Acaudillar. — Huáxehte. Ne.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000082,82,ORTEGA1888-TEPIC-IA,22,18,matched_headword,732,732,Acechar ó espia,"Miiihin//*"". Neti.","Acechar ó espiar, — Miiihin//*"". Neti.",em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000083,83,ORTEGA1888-TEPIC-IA,22,18,matched_headword,733,733,"Acelerarse, darse prisa",Vivaba. Néniyéta.,"Acelerarse, darse prisa. — Vivaba. Néniyéta.",em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000084,84,ORTEGA1888-TEPIC-IA,22,18,matched_headword,734,734,Aceleramiento,Vi yeta t.,Aceleramiento. — Vi yeta t.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000085,85,ORTEGA1888-TEPIC-IA,22,18,matched_headword,735,735,Acepilla,Metné. Neti.,Acepillar.— Metné. Neti.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000086,86,ORTEGA1888-TEPIC-IA,22,18,matched_headword,736,736,"Aceptar, petición",Xé'oe. Neti.,"Aceptar, petición. — Xé'oe. Neti.",em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000087,87,ORTEGA1888-TEPIC-IA,22,18,matched_headword,737,737,Azequia,Apoanti.,Azequia. — Apoanti.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000088,88,ORTEGA1888-TEPIC-IA,22,18,matched_headword,738,738,Acercarse,Apuxeurizt Manúxeiirizt.,Acercarse ^— Apuxeurizt Manúxeiirizt.,em_dash,false,high,unreviewed_machine_candidate,false
ORT1888-cand-000089,89,ORTEGA1888-TEPIC-IA,22,18,matched_headword,739,739,Acertar al blanco,Ahv/¿otoa. Nahiiautoa.,Acertar al blanco. — Ahv/¿otoa. Nahiiautoa.,em_dash,false,high,unreviewed_machine_candidate,false
